,round,scenario,algorithm,metric,at,value
0,1,100000,KNN,map,1,0.7787302437717654
0,1,100000,KNN,map,3,0.7713709557400958
0,1,100000,KNN,map,5,0.7660012798761794
0,1,100000,KNN,map,7,0.7600188427902638
0,1,100000,KNN,map,9,0.7542471893833382
0,1,100000,KNN,map,11,0.7494408193015785
0,1,100000,KNN,map,13,0.7463570222418621
0,1,100000,KNN,map,15,0.7445432997505844
0,1,100000,KNN,mrr,1,0.7787302437717654
0,1,100000,KNN,mrr,3,0.8719082060898294
0,1,100000,KNN,mrr,5,0.8761407268506116
0,1,100000,KNN,mrr,7,0.8762300205375478
0,1,100000,KNN,mrr,9,0.8762300205375478
0,1,100000,KNN,mrr,11,0.8762300205375478
0,1,100000,KNN,mrr,13,0.8762300205375478
0,1,100000,KNN,mrr,15,0.8762300205375478
0,1,100000,PER,map,1,0.7697668185473063
0,1,100000,PER,map,3,0.7689776348312934
0,1,100000,PER,map,5,0.7643583042973287
0,1,100000,PER,map,7,0.7597220307760377
0,1,100000,PER,map,9,0.7546102555796433
0,1,100000,PER,map,11,0.7505320078381076
0,1,100000,PER,map,13,0.7477421365465574
0,1,100000,PER,map,15,0.7462429609624285
0,1,100000,PER,mrr,1,0.7697668185473063
0,1,100000,PER,mrr,3,0.8674171357098186
0,1,100000,PER,mrr,5,0.8714375055838471
0,1,100000,PER,mrr,7,0.8716480963867723
0,1,100000,PER,mrr,9,0.871681599469056
0,1,100000,PER,mrr,11,0.871681599469056
0,1,100000,PER,mrr,13,0.871681599469056
0,1,100000,PER,mrr,15,0.871681599469056
0,1,100000,MLP,map,1,0.7621233859397417
0,1,100000,MLP,map,3,0.7580583452893351
0,1,100000,MLP,map,5,0.7539431691375738
0,1,100000,MLP,map,7,0.7496831431759695
0,1,100000,MLP,map,9,0.745351274701389
0,1,100000,MLP,map,11,0.7411598483148626
0,1,100000,MLP,map,13,0.7377160799400084
0,1,100000,MLP,map,15,0.7352582601691514
0,1,100000,MLP,mrr,1,0.7621233859397417
0,1,100000,MLP,mrr,3,0.860832137733142
0,1,100000,MLP,mrr,5,0.8649497847919657
0,1,100000,MLP,mrr,7,0.865325544852087
0,1,100000,MLP,mrr,9,0.8653972808635648
0,1,100000,MLP,mrr,11,0.8653972808635648
0,1,100000,MLP,mrr,13,0.8653972808635648
0,1,100000,MLP,mrr,15,0.8653972808635648
0,1,100000,CART,map,1,0.7591749263327083
0,1,100000,CART,map,3,0.7523365181415006
0,1,100000,CART,map,5,0.7465025151055154
